,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq1176_[chr4:127967181-127967351],13.67294529,0.033510735,0.090265519,6,84,18,12
seq1178_[chr4:129723993-129724163],13.63915938,0.033937211,0.091046052,6,51,18,12
seq1179_[chr4:130947464-130947634],9.030162201,0.171888863,0.316914222,6,81,18,12
seq118_[chr1:162199971-162200141],538.154441,5.05E-113,2.24E-110,6,99,18,12
seq1180_[chr4:131688580-131688750],10.49434659,0.105318952,0.222791341,6,83,18,12
seq1181_[chr4:133413206-133413376],13.04747697,0.042288174,0.107907754,6,82,18,12
seq1182_[chr4:133416690-133416860],3.687387322,0.718894444,0.818238936,6,81,18,12
seq1183_[chr4:137718159-137718329],73.25274017,8.78E-14,1.75E-12,6,81,18,12
seq1184_[chr4:140656227-140656397],1.799638016,0.937172865,0.960611201,6,96,18,12
seq1185_[chr4:152405952-152406122],36.22907684,2.49E-06,2.10E-05,6,88,18,12
seq1186_[chr4:154711422-154711592],91.77185723,1.30E-17,3.64E-16,6,95,18,12
seq1187_[chr4:159942866-159943036],193.3266371,4.99E-39,4.58E-37,6,80,18,12
seq1188_[chr4:166248524-166248694],45.66080012,3.46E-08,3.69E-07,6,94,18,12
seq1189_[chr4:169552798-169552968],3.170995416,0.787099393,0.869778197,6,99,18,12
seq119_[chr1:163531511-163531681],5.987522088,0.424589321,0.586813472,6,67,18,12
seq1190_[chr4:169553116-169553286],16.0766351,0.013348494,0.041626607,6,99,18,12
seq1191_[chr4:169762284-169762454],65.94199426,2.77E-12,4.92E-11,6,77,18,12
seq1192_[chr4:173995244-173995414],8.540060556,0.201144365,0.351376123,6,79,18,12
seq1193_[chr4:173995523-173995693],16.13588592,0.013042901,0.040974398,6,79,18,12
seq1194_[chr4:176697423-176697593],31.23094122,2.29E-05,0.000154061,6,84,18,12
seq1195_[chr4:180386637-180386807],23.44186318,0.000661222,0.003139922,6,79,18,12
seq1196_[chr4:184026378-184026548],10.18333569,0.11714066,0.239774914,6,84,18,12
seq1197_[chr4:184104280-184104450],4.109622211,0.661844327,0.783623683,6,81,18,12
seq1198_[chr4:185537876-185538046],14.42569913,0.025226,0.071415583,6,86,18,12
seq1199_[chr4:185609703-185609873],136.4200961,5.70E-27,3.38E-25,6,98,18,12
seq12_[chr1:10239253-10239423],16.07942624,0.013333945,0.041626607,6,88,18,12
seq120_[chr1:165314303-165314473],3.115555782,0.794209914,0.873926151,6,80,18,12
seq1200_[chr4:186029418-186029588],7.079294227,0.313576367,0.475180569,6,78,18,12
seq1201_[chr4:186239987-186240157],15.52675787,0.016532524,0.049653488,6,75,18,12
seq1202_[chr4:186951274-186951444],12.0669582,0.060491611,0.143499245,6,99,18,12
seq1203_[chr4:189897951-189898121],6.621880037,0.357234131,0.524337038,6,84,18,12
seq1204_[chr5:317352-317522],13.86027937,0.031236464,0.084998916,6,99,18,12
seq1205_[chr5:1515005-1515175],347.1355353,6.36E-72,1.21E-69,6,99,18,12
seq1206_[chr5:1867686-1867856],5.508906296,0.480380912,0.634159935,6,78,18,12
seq1207_[chr5:2751732-2751902],34.00926928,6.70E-06,5.16E-05,6,99,18,12
seq1208_[chr5:3101527-3101697],26.67314078,0.000166713,0.000944943,6,95,18,12
seq1209_[chr5:3104618-3104788],2.372518525,0.882453176,0.927359077,6,81,18,12
seq121_[chr1:165320210-165320380],35.41727694,3.58E-06,2.92E-05,6,82,18,12
seq1210_[chr5:3118573-3118743],6.563850113,0.363069354,0.528823848,6,95,18,12
seq1211_[chr5:4213296-4213466],4.772249554,0.573338049,0.713059086,6,83,18,12
seq1212_[chr5:7261370-7261540],18.0817474,0.006031119,0.021337186,6,98,18,12
seq1213_[chr5:7269041-7269211],8.041938513,0.235046862,0.392579837,6,85,18,12
seq1214_[chr5:7396063-7396233],8.011766725,0.237242513,0.394762057,6,22,18,12
seq1215_[chr5:10102437-10102607],10.79201726,0.095021037,0.20463706,6,94,18,12
seq1216_[chr5:10103331-10103501],12.01825837,0.06156272,0.145135474,6,79,18,12
seq1217_[chr5:10637765-10637935],8.062028773,0.233594063,0.390398107,6,98,18,12
seq1218_[chr5:12505179-12505349],5.891004515,0.435510055,0.597225435,6,80,18,12
seq1219_[chr5:14036238-14036408],17.88334003,0.006530444,0.023012041,6,82,18,12
seq122_[chr1:166919461-166919631],10.01942179,0.123836505,0.248606216,6,87,18,12
seq1220_[chr5:15554694-15554864],40.23387471,4.10E-07,3.78E-06,6,82,18,12
seq1221_[chr5:16061478-16061648],13.65986309,0.033675266,0.090525639,6,86,18,12
seq1222_[chr5:17402436-17402606],3.937596362,0.68512114,0.797014287,6,88,18,12
seq1223_[chr5:24208821-24208991],4.089277633,0.664595986,0.784675077,6,80,18,12
seq1224_[chr5:34410910-34411080],11.73605888,0.06812277,0.157124726,6,87,18,12
seq1225_[chr5:34411676-34411846],5.72262693,0.454967614,0.613575701,6,81,18,12
seq1226_[chr5:34548306-34548476],5.599329398,0.469533615,0.626358312,6,82,18,12
seq1227_[chr5:36744800-36744970],8.099062705,0.230935213,0.388145998,6,99,18,12
seq1228_[chr5:38725606-38725776],2.903030042,0.820915522,0.888991443,6,99,18,12
seq1229_[chr5:45060863-45061033],3.46873223,0.748124984,0.83977508,6,70,18,12
seq123_[chr1:171189929-171190099],11.70334405,0.068923634,0.158225143,6,95,18,12
seq1230_[chr5:45205791-45205961],3.612823108,0.728903569,0.826297492,6,88,18,12
seq1231_[chr5:52774467-52774637],3.68928696,0.718638998,0.818238936,6,78,18,12
seq1232_[chr5:52778749-52778919],35.1514391,4.03E-06,3.24E-05,6,98,18,12
seq1233_[chr5:53305749-53305919],7.61796277,0.267449116,0.427909982,6,72,18,12
seq1234_[chr5:54780496-54780666],8.032228662,0.235751651,0.393017771,6,72,18,12
seq1235_[chr5:59005280-59005450],2.772373467,0.836825952,0.898913038,6,72,18,12
seq1236_[chr5:59005651-59005821],4.369140487,0.626853976,0.755772893,6,74,18,12
seq1237_[chr5:61371042-61371212],26.35518447,0.00019115,0.00105579,6,73,18,12
seq1238_[chr5:72782403-72782573],18.84610045,0.004431597,0.016374166,6,79,18,12
seq1239_[chr5:72783215-72783385],14.78597882,0.021988254,0.063948373,6,96,18,12
seq124_[chr1:175099417-175099587],10.28963493,0.112972902,0.233222238,6,79,18,12
seq1240_[chr5:72783756-72783926],17.63851916,0.007201995,0.024756277,6,78,18,12
seq1241_[chr5:75820062-75820232],79.99775344,3.58E-15,8.07E-14,6,83,18,12
seq1242_[chr5:77791765-77791935],28.96325189,6.18E-05,0.000383882,6,84,18,12
seq1243_[chr5:81602083-81602253],57.9804074,1.16E-10,1.63E-09,6,90,18,12
seq1244_[chr5:86315497-86315667],5.298563369,0.506129211,0.656120787,6,88,18,12
seq1245_[chr5:87552815-87552985],8.283057606,0.218090578,0.373869563,6,85,18,12
seq1246_[chr5:89770515-89770685],53.43013801,9.61E-10,1.24E-08,6,99,18,12
seq1247_[chr5:92635740-92635910],11.01796204,0.087822877,0.193017342,6,89,18,12
seq1248_[chr5:93690898-93691068],8.112945021,0.22994493,0.386969863,6,73,18,12
seq1249_[chr5:96478319-96478489],6.788663224,0.340834582,0.505840293,6,86,18,12
seq125_[chr1:178235935-178236105],47.77144117,1.31E-08,1.47E-07,6,97,18,12
seq1250_[chr5:97992333-97992503],17.59268728,0.007334939,0.025129781,6,82,18,12
seq1251_[chr5:102201375-102201545],16.17088624,0.012865556,0.04056076,6,91,18,12
seq1252_[chr5:105420977-105421147],16.64469338,0.010681691,0.034660201,6,77,18,12
seq1253_[chr5:106314317-106314487],26.59295242,0.000172568,0.000973988,6,87,18,12
seq1254_[chr5:106847778-106847948],7.50358724,0.276771976,0.437558449,6,77,18,12
seq1255_[chr5:107008317-107008487],17.53664406,0.007500734,0.025487189,6,93,18,12
seq1256_[chr5:109515064-109515234],2.647372118,0.851623513,0.909308632,6,79,18,12
seq1258_[chr5:116095916-116096086],2.990978118,0.809978319,0.882889624,6,76,18,12
seq1259_[chr5:116109785-116109955],3.283285412,0.772543072,0.858954401,6,86,18,12
seq126_[chr1:180208799-180208969],8.851974626,0.182075654,0.328179664,6,90,18,12
seq1260_[chr5:116113726-116113896],20.24869016,0.002500731,0.010033054,6,99,18,12
seq1262_[chr5:121810075-121810245],83.20548704,7.77E-16,1.90E-14,6,84,18,12
seq1263_[chr5:123210525-123210695],13.38011876,0.037381436,0.09850064,6,71,18,12
seq1264_[chr5:123211397-123211567],5.825166295,0.443057498,0.603428003,6,71,18,12
seq1265_[chr5:126175219-126175389],11.55364453,0.072700135,0.165532614,6,89,18,12
seq1266_[chr5:129060420-129060590],7.273313346,0.296309302,0.457074685,6,83,18,12
seq1267_[chr5:133875683-133875853],25.96286909,0.000226216,0.001224879,6,98,18,12
seq1268_[chr5:133877535-133877705],6.4014904,0.379748238,0.544482941,6,99,18,12
seq1269_[chr5:135538474-135538644],35.35563221,3.68E-06,2.98E-05,6,99,18,12
seq127_[chr1:181939131-181939301],22.91678262,0.000824835,0.003834834,6,69,18,12
seq1270_[chr5:138061042-138061212],2.498425495,0.868643836,0.919619473,6,99,18,12
seq1271_[chr5:138281541-138281711],5.733512064,0.453694417,0.613575701,6,97,18,12
seq1272_[chr5:138298393-138298563],10.32671586,0.11155056,0.23187878,6,82,18,12
seq1273_[chr5:138609694-138609864],31.04123173,2.49E-05,0.000165793,6,99,18,12
seq1274_[chr5:140381871-140382041],33.02146538,1.04E-05,7.62E-05,6,99,18,12
seq1275_[chr5:141928420-141928590],16.12617192,0.013092537,0.041081883,6,90,18,12
seq1276_[chr5:141931370-141931540],24.93817436,0.000350573,0.001806432,6,99,18,12
seq1277_[chr5:142078768-142078938],6.688637678,0.350603736,0.517742989,6,52,18,12
seq1278_[chr5:142276062-142276232],14.37109383,0.025754661,0.072680527,6,90,18,12
seq1279_[chr5:142416752-142416922],7.548931295,0.273045889,0.432200979,6,83,18,12
seq128_[chr1:183372794-183372964],13.00896205,0.042893849,0.10867559,6,73,18,12
seq1280_[chr5:147248450-147248620],9.711745068,0.137327753,0.266453849,6,76,18,12
seq1281_[chr5:147253966-147254136],8.697942486,0.191291689,0.340499327,6,95,18,12
seq1282_[chr5:147254685-147254855],6.292748247,0.391207813,0.556421577,6,91,18,12
seq1283_[chr5:150767685-150767855],105.2372953,2.02E-20,6.73E-19,6,99,18,12
seq1284_[chr5:153465821-153465991],9.748021801,0.135672335,0.264011031,6,82,18,12
seq1285_[chr5:153570205-153570375],5.3313985,0.502063957,0.652560451,6,32,18,12
seq1286_[chr5:159471588-159471758],13.0048331,0.042959261,0.108683259,6,88,18,12
seq1287_[chr5:159714551-159714721],7.778302839,0.254799547,0.413893898,6,96,18,12
seq1288_[chr5:159904616-159904786],132.0058309,4.86E-26,2.75E-24,6,74,18,12
seq1289_[chr5:162757908-162758078],10.28389609,0.113194476,0.233222238,6,70,18,12
seq129_[chr1:184356080-184356250],26.42904871,0.000185176,0.001027725,6,98,18,12
seq1290_[chr5:162758309-162758479],13.33203826,0.038055927,0.099686323,6,66,18,12
seq1291_[chr5:170189244-170189414],40.57240853,3.52E-07,3.29E-06,6,78,18,12
seq1292_[chr5:172719390-172719560],6.822121954,0.337611112,0.502175323,6,79,18,12
seq1293_[chr5:172983462-172983632],5.423895325,0.49070229,0.643639045,6,80,18,12
seq1294_[chr5:173097268-173097438],57.09166811,1.75E-10,2.43E-09,6,70,18,12
seq1295_[chr5:173345208-173345378],3.046857332,0.802943186,0.879178236,6,88,18,12
seq1296_[chr5:174988244-174988414],52.38435086,1.56E-09,1.95E-08,6,84,18,12
seq1297_[chr5:176294033-176294203],18.00191556,0.00622741,0.022002413,6,98,18,12
seq1298_[chr5:177607433-177607603],6.364342644,0.383637058,0.549172016,6,90,18,12
seq1299_[chr5:177982856-177983026],8.787384362,0.185893227,0.333256767,6,82,18,12
seq13_[chr1:10239625-10239795],4.075459567,0.666465274,0.784675077,6,53,18,12
seq130_[chr1:185881815-185881985],7.995573327,0.238427794,0.395992297,6,86,18,12
seq1300_[chr5:178771101-178771271],26.52370503,0.000177788,0.000990852,6,99,18,12
seq1301_[chr6:683978-684148],60.38878327,3.75E-11,5.71E-10,6,99,18,12
seq1302_[chr6:3415388-3415558],4.689736339,0.584176713,0.720908934,6,98,18,12
seq1303_[chr6:3423885-3424055],6.81093575,0.338686336,0.503493527,6,80,18,12
seq1304_[chr6:7505680-7505850],63.61146686,8.28E-12,1.41E-10,6,96,18,12
seq1305_[chr6:10585814-10585984],22.79406309,0.000868469,0.00400277,6,80,18,12
seq1306_[chr6:11650631-11650801],23.86867635,0.000552115,0.00268891,6,98,18,12
seq1307_[chr6:13422883-13423053],12.25438041,0.056528619,0.136529684,6,62,18,12
seq1308_[chr6:14639227-14639397],4.611969453,0.594452391,0.727432784,6,86,18,12
seq1309_[chr6:14640427-14640597],10.32204161,0.111728966,0.23187878,6,82,18,12
seq131_[chr1:200017387-200017557],7.588376159,0.269836694,0.43028187,6,92,18,12
seq1310_[chr6:14785357-14785527],33.90093052,7.03E-06,5.38E-05,6,79,18,12
seq1311_[chr6:15895241-15895411],12.50074614,0.05168591,0.126322262,6,82,18,12
seq1312_[chr6:15912655-15912825],5.060142039,0.536122947,0.682711057,6,85,18,12
seq1313_[chr6:19312146-19312316],2.216384941,0.898760913,0.937642929,6,72,18,12
seq1314_[chr6:19312786-19312956],7.397800271,0.285619293,0.445225159,6,73,18,12
seq1315_[chr6:24400927-24401097],19.65512486,0.00318907,0.012348374,6,91,18,12
seq1316_[chr6:24403023-24403193],25.48852925,0.000277167,0.001470865,6,88,18,12
seq1317_[chr6:34099729-34099899],7.966896559,0.240538598,0.398663155,6,85,18,12
seq1318_[chr6:34992481-34992651],12.80346339,0.046265325,0.115511551,6,86,18,12
seq1319_[chr6:35181393-35181563],52.68898627,1.36E-09,1.71E-08,6,97,18,12
seq132_[chr1:200331580-200331750],6.597970683,0.35963028,0.526403882,6,75,18,12
seq1320_[chr6:35181843-35182013],17.11036683,0.008886075,0.029553686,6,98,18,12
seq1321_[chr6:35707688-35707858],5.721370498,0.455114709,0.613575701,6,81,18,12
seq1322_[chr6:36646350-36646520],9.878343009,0.129869637,0.256086391,6,96,18,12
seq1323_[chr6:37527907-37528077],5.076220358,0.534075168,0.681080061,6,95,18,12
seq1324_[chr6:37533465-37533635],78.54707488,7.13E-15,1.58E-13,6,99,18,12
seq1325_[chr6:37534162-37534332],7.576193278,0.270824697,0.43028187,6,99,18,12
seq1326_[chr6:41139597-41139767],10.56129214,0.102919025,0.218293219,6,86,18,12
seq1327_[chr6:42145844-42146014],23.14042507,0.000750785,0.003533731,6,99,18,12
seq1328_[chr6:42225429-42225599],3.091287596,0.797305177,0.875096085,6,83,18,12
seq1329_[chr6:43894898-43895068],9.443719944,0.150118167,0.285653427,6,98,18,12
seq133_[chr1:201689075-201689245],22.06577385,0.001178086,0.005265806,6,98,18,12
seq1330_[chr6:44630546-44630716],37.63103756,1.33E-06,1.14E-05,6,83,18,12
seq1331_[chr6:49518027-49518197],7.197283796,0.30298738,0.463884126,6,96,18,12
seq1332_[chr6:49519284-49519454],1.685503655,0.946234916,0.966923597,6,82,18,12
seq1333_[chr6:57384103-57384273],11.64668109,0.07033131,0.160798948,6,78,18,12
seq1334_[chr6:63226286-63226456],7.761178593,0.256127329,0.415514232,6,82,18,12
seq1335_[chr6:65600022-65600192],67.26929829,1.48E-12,2.67E-11,6,79,18,12
seq1336_[chr6:68749009-68749179],14.11097184,0.028420815,0.079114997,6,99,18,12
seq1337_[chr6:69269783-69269953],7.726495023,0.258833555,0.417645421,6,91,18,12
seq1338_[chr6:74059125-74059295],4.258509188,0.641738138,0.767794682,6,81,18,12
seq1339_[chr6:86379630-86379800],50.83814281,3.19E-09,3.87E-08,6,83,18,12
seq134_[chr1:201706923-201707093],4.994177238,0.544560148,0.689500111,6,83,18,12
seq1340_[chr6:90193123-90193293],20.06409746,0.00269757,0.010725861,6,99,18,12
seq1341_[chr6:90211100-90211270],1.336296239,0.969618618,0.981369836,6,72,18,12
seq1342_[chr6:90377745-90377915],9.257991956,0.159580198,0.298750279,6,75,18,12
seq1343_[chr6:90399471-90399641],9.395961304,0.152503391,0.288953794,6,82,18,12
seq1344_[chr6:90529441-90529611],118.6761158,3.09E-23,1.37E-21,6,98,18,12
seq1345_[chr6:90928266-90928436],12.75288622,0.04713235,0.117236769,6,86,18,12
seq1346_[chr6:91204258-91204428],2.249444697,0.895387668,0.935783738,6,78,18,12
seq1347_[chr6:92008425-92008595],14.23601683,0.027108015,0.075936648,6,71,18,12
seq1348_[chr6:92147141-92147311],5.645254285,0.464077442,0.622325091,6,90,18,12
seq1349_[chr6:94496318-94496488],9.191395089,0.163096818,0.303414751,6,76,18,12
seq135_[chr1:201708819-201708989],76.70722985,1.71E-14,3.73E-13,6,99,18,12
seq1350_[chr6:98484340-98484510],7.704528418,0.260559275,0.419921301,6,88,18,12
seq1351_[chr6:98487873-98488043],31.23487735,2.29E-05,0.000154061,6,91,18,12
seq1352_[chr6:102164822-102164992],21.63701025,0.001408563,0.006141426,6,72,18,12
seq1353_[chr6:109829433-109829603],13.43292149,0.036653681,0.09696664,6,83,18,12
seq1354_[chr6:114523658-114523828],31.645312,1.91E-05,0.000132374,6,72,18,12
seq1355_[chr6:114684140-114684310],2.291671078,0.891015712,0.932311805,6,78,18,12
seq1356_[chr6:118241179-118241349],43.22573672,1.05E-07,1.06E-06,6,97,18,12
seq1357_[chr6:126022228-126022398],13.28278448,0.038758747,0.101129581,6,81,18,12
seq1358_[chr6:126067976-126068146],7.41391258,0.284257763,0.443881994,6,96,18,12
seq1359_[chr6:126070571-126070741],17.34540367,0.008094243,0.027329612,6,67,18,12
seq136_[chr1:204273222-204273392],7.616032607,0.267604366,0.427909982,6,77,18,12
seq1360_[chr6:131831390-131831560],104.2390197,3.27E-20,1.06E-18,6,87,18,12
seq1361_[chr6:137278019-137278189],34.28819187,5.92E-06,4.57E-05,6,84,18,12
seq1362_[chr6:137278409-137278579],19.9106281,0.002872667,0.011320687,6,99,18,12
seq1363_[chr6:139688965-139689135],2.460280397,0.872886169,0.92093812,6,83,18,12
seq1364_[chr6:139695616-139695786],12.68098382,0.048391132,0.119808529,6,99,18,12
seq1365_[chr6:139696368-139696538],26.9993772,0.000144846,0.000831618,6,99,18,12
seq1366_[chr6:144651800-144651970],17.20326481,0.008564541,0.028699292,6,99,18,12
seq1367_[chr6:144966038-144966208],3.110512655,0.794854025,0.874273792,6,91,18,12
seq1368_[chr6:149085831-149086001],26.5766521,0.000173783,0.000978771,6,75,18,12
seq1369_[chr6:154152808-154152978],21.54120491,0.00146581,0.006359344,6,71,18,12
seq137_[chr1:204995528-204995698],4.485397336,0.611287986,0.743933849,6,90,18,12
seq1370_[chr6:154864096-154864266],20.31022029,0.002438291,0.009856251,6,84,18,12
seq1371_[chr6:158184526-158184696],213.4510979,2.59E-43,2.76E-41,6,97,18,12
seq1372_[chr6:158615576-158615746],5.959238972,0.427771643,0.590049038,6,79,18,12
seq1373_[chr6:158622032-158622202],8.909489733,0.178732657,0.323028357,6,84,18,12
seq1374_[chr6:158704819-158704989],1.7321349,0.942613531,0.963962552,6,90,18,12
seq1375_[chr6:159331804-159331974],7.4719244,0.279397331,0.439642345,6,99,18,12
seq1376_[chr6:162831442-162831612],9.68808759,0.138416871,0.268176397,6,89,18,12
seq1377_[chr6:163681521-163681691],24.22066043,0.000475628,0.00236394,6,82,18,12
seq1378_[chr6:164765948-164766118],21.32015882,0.001606727,0.006894825,6,80,18,12
seq1379_[chr6:167577197-167577367],7.637379805,0.265891289,0.426193979,6,99,18,12
seq138_[chr1:205012122-205012292],7.949097184,0.241856355,0.399693132,6,97,18,12
seq1380_[chr6:167854598-167854768],25.3906221,0.000289014,0.00152161,6,90,18,12
seq1381_[chr7:1709795-1709965],10.59275488,0.101808231,0.216281601,6,56,18,12
seq1382_[chr7:2143964-2144134],28.78744415,6.67E-05,0.00041155,6,99,18,12
seq1383_[chr7:2148278-2148448],7.219467124,0.301027169,0.461944918,6,97,18,12
seq1384_[chr7:2535634-2535804],7.920917173,0.243954576,0.402555944,6,96,18,12
seq1385_[chr7:2539826-2539996],24.14209281,0.000491741,0.002430423,6,99,18,12
seq1386_[chr7:2559239-2559409],17.62934124,0.007228429,0.024815122,6,99,18,12
seq1387_[chr7:2564512-2564682],30.92633088,2.62E-05,0.000173948,6,98,18,12
seq1388_[chr7:2861045-2861215],11.910502,0.063995437,0.149810056,6,76,18,12
seq1389_[chr7:2864340-2864510],27.57741597,0.000112837,0.000667996,6,83,18,12
seq139_[chr1:205282935-205283105],19.54493955,0.003335779,0.012860369,6,92,18,12
seq1390_[chr7:4079727-4079897],10.43887003,0.107345751,0.225705666,6,90,18,12
seq1391_[chr7:4080311-4080481],6.375042489,0.382514178,0.548153723,6,83,18,12
seq1392_[chr7:5447288-5447458],42.16495329,1.71E-07,1.67E-06,6,90,18,12
seq1393_[chr7:5463625-5463795],15.39064542,0.017426555,0.051928796,6,99,18,12
seq1394_[chr7:7391557-7391727],11.73855744,0.068061959,0.157120501,6,80,18,12
seq1395_[chr7:7392552-7392722],12.67108308,0.048566904,0.12005521,6,77,18,12
seq1396_[chr7:8402751-8402921],4.362519489,0.627742991,0.756357905,6,84,18,12
seq1397_[chr7:12368757-12368927],7.431583666,0.282770309,0.442077526,6,79,18,12
seq1398_[chr7:12369048-12369218],11.95126115,0.063064982,0.147891825,6,84,18,12
seq1399_[chr7:13873052-13873222],13.31419523,0.038309138,0.100251026,6,99,18,12
seq14_[chr1:10239830-10240000],20.01959806,0.002747239,0.010874657,6,86,18,12
seq140_[chr1:205414111-205414281],46.23593666,2.66E-08,2.90E-07,6,98,18,12
seq1400_[chr7:13875076-13875246],8.200048297,0.223810618,0.379756763,6,79,18,12
seq1401_[chr7:20093059-20093229],14.71184403,0.022620301,0.065571796,6,86,18,12
seq1402_[chr7:20369347-20369517],3.119307224,0.793730479,0.873759502,6,81,18,12
seq1403_[chr7:20370124-20370294],73.90719396,6.44E-14,1.31E-12,6,99,18,12
seq1404_[chr7:20371034-20371204],1.791427268,0.937847011,0.960932476,6,99,18,12
seq1405_[chr7:21811729-21811899],16.3194138,0.012138449,0.038680416,6,92,18,12
seq1406_[chr7:22372158-22372328],25.52491196,0.000272888,0.001452603,6,80,18,12
seq1407_[chr7:24435996-24436166],21.89751013,0.001263754,0.005601733,6,91,18,12
seq1408_[chr7:24441078-24441248],15.79993666,0.014869036,0.045530014,6,86,18,12
seq1409_[chr7:26988464-26988634],4.08304032,0.665439729,0.784675077,6,84,18,12
seq141_[chr1:205417812-205417982],3.255703992,0.776136374,0.861511375,6,85,18,12
seq1410_[chr7:27950067-27950237],25.0640018,0.000332262,0.001732183,6,83,18,12
seq1411_[chr7:28276225-28276395],4.425956482,0.61923581,0.748817157,6,82,18,12
seq1412_[chr7:28929754-28929924],32.6423229,1.23E-05,8.85E-05,6,95,18,12
seq1413_[chr7:28940021-28940191],43.82154503,8.02E-08,8.19E-07,6,98,18,12
seq1414_[chr7:32643734-32643904],6.058241799,0.416697548,0.58058696,6,50,18,12
seq1415_[chr7:32982762-32982932],1.847366212,0.933187308,0.958739293,6,87,18,12
seq1416_[chr7:37288125-37288295],3.715151163,0.715159032,0.816751967,6,74,18,12
seq1417_[chr7:45960437-45960607],2.256182801,0.89469476,0.935426547,6,96,18,12
seq1418_[chr7:49140833-49141003],9.956932979,0.126477421,0.251965367,6,88,18,12
seq1419_[chr7:50446878-50447048],11.77973524,0.06706694,0.155362023,6,99,18,12
seq142_[chr1:205419051-205419221],31.57374312,1.97E-05,0.000135908,6,95,18,12
seq1421_[chr7:52609095-52609265],33.61888741,7.97E-06,6.01E-05,6,70,18,12
seq1422_[chr7:69808587-69808757],8.749363875,0.188172041,0.336146905,6,82,18,12
seq1423_[chr7:70165153-70165323],12.71745495,0.047748762,0.118548651,6,91,18,12
seq1424_[chr7:70854969-70855139],3.3829538,0.759471405,0.849129205,6,79,18,12
seq1425_[chr7:73153259-73153429],125.9774887,9.03E-25,4.72E-23,6,97,18,12
seq1426_[chr7:73157351-73157521],2832.233399,0,0,6,98,18,12
seq1427_[chr7:73184904-73185074],7.493148637,0.277635364,0.437645331,6,97,18,12
seq1428_[chr7:73457958-73458128],12.0491249,0.060881818,0.144040111,6,98,18,12
seq1429_[chr7:73509281-73509451],6.670306974,0.352415554,0.519842212,6,87,18,12
seq143_[chr1:205426526-205426696],3.266009985,0.774795009,0.860739743,6,61,18,12
seq1430_[chr7:73693981-73694151],8.858139311,0.181714808,0.327751014,6,94,18,12
seq1431_[chr7:74042354-74042524],5.373867468,0.496830659,0.648484506,6,97,18,12
seq1432_[chr7:75793253-75793423],18.39371253,0.005320049,0.019100552,6,80,18,12
seq1433_[chr7:75795869-75796039],141.6821478,4.42E-28,2.74E-26,6,99,18,12
seq1434_[chr7:76302789-76302959],41.50160235,2.31E-07,2.22E-06,6,89,18,12
seq1435_[chr7:82224122-82224292],5.834079988,0.442031062,0.602801347,6,86,18,12
seq1436_[chr7:82434860-82435030],91.3977138,1.55E-17,4.31E-16,6,81,18,12
seq1437_[chr7:82841107-82841277],11.97033363,0.062633906,0.147010332,6,76,18,12
seq1438_[chr7:83324857-83325027],5.269295777,0.509766597,0.659232143,6,73,18,12
seq1439_[chr7:90225317-90225487],3.307115151,0.769429797,0.857780537,6,99,18,12
seq144_[chr1:205639919-205640089],35.39388944,3.61E-06,2.94E-05,6,99,18,12
seq1440_[chr7:90225746-90225916],4.037120011,0.671652913,0.788230555,6,99,18,12
seq1441_[chr7:91521884-91522054],20.54663748,0.002212238,0.009080743,6,81,18,12
seq1442_[chr7:91522165-91522335],3.544095946,0.738093981,0.833040528,6,85,18,12
seq1443_[chr7:98408094-98408264],15.65883654,0.015707116,0.047626168,6,98,18,12
seq1444_[chr7:99437336-99437506],17.16122671,0.008708623,0.029108874,6,84,18,12
seq1445_[chr7:99437976-99438146],3.886940394,0.691973238,0.801485524,6,70,18,12
seq1446_[chr7:100743510-100743680],75.50378949,3.02E-14,6.34E-13,6,99,18,12
seq1447_[chr7:100937999-100938169],12.68593715,0.048303417,0.119702608,6,93,18,12
seq1448_[chr7:100943390-100943560],6.489281494,0.370665247,0.535848962,6,98,18,12
seq1449_[chr7:101218544-101218714],28.57992014,7.30E-05,0.000445285,6,77,18,12
seq145_[chr1:205641297-205641467],62.97711315,1.12E-11,1.82E-10,6,97,18,12
seq1450_[chr7:102153389-102153559],20.10132151,0.002656696,0.010610852,6,99,18,12
seq1451_[chr7:102158185-102158355],6.238961271,0.396960937,0.561774389,6,43,18,12
seq1452_[chr7:102252459-102252629],18.66805739,0.004762555,0.017321733,6,97,18,12
seq1453_[chr7:102257001-102257171],33.60372609,8.02E-06,6.04E-05,6,99,18,12
seq1454_[chr7:102574230-102574400],29.89691761,4.11E-05,0.00026271,6,83,18,12
seq1455_[chr7:105279558-105279728],9.786089719,0.133954114,0.262464361,6,99,18,12
seq1456_[chr7:105283973-105284143],5.939209817,0.43003423,0.592659695,6,98,18,12
seq1457_[chr7:105292911-105293081],9.616245217,0.141770964,0.273481424,6,97,18,12
seq1458_[chr7:105297514-105297684],18.91096824,0.004316666,0.016060892,6,99,18,12
seq1459_[chr7:105329766-105329936],9.420748733,0.151261335,0.287344237,6,85,18,12
seq146_[chr1:215825341-215825511],8.198074037,0.223948151,0.379756763,6,75,18,12
seq1460_[chr7:105337601-105337771],11.07949314,0.085950453,0.19032114,6,82,18,12
seq1461_[chr7:105631356-105631526],10.99376369,0.088569365,0.193718216,6,72,18,12
seq1462_[chr7:107573353-107573523],12.24267162,0.056768959,0.136614731,6,76,18,12
