,T00h,T03h,T06h,T12h,T24h,T48h,T72h
seq1011_[chr21:37472294-37472464],4.941775728,5.01837296,5.299842875,4.868492427,4.11951198,3.133666485,2.243385376
seq1012_[chr21:37477110-37477280],1.692426268,1.705215187,1.870048506,1.710509339,1.702129281,1.694619383,1.539167749
seq1013_[chr21:39599959-39600129],1.801604284,1.788579099,2.121921332,1.738539201,1.703812189,1.602407726,1.339893653
seq1014_[chr21:39861705-39861875],1.916373802,1.796259092,2.010465422,1.792681351,1.61850842,1.684983205,1.494298438
seq1015_[chr21:41079421-41079591],2.274989021,2.474407327,2.497667618,2.19443662,1.935835092,1.589252853,1.245118954
seq1016_[chr21:42849766-42849936],1.681164193,1.702886665,1.941399598,1.680065332,1.58092335,1.491514242,1.402456429
seq1017_[chr21:43182583-43182753],2.951411051,3.119262714,3.305764938,3.192276209,3.443558411,3.541908269,2.848415229
seq1018_[chr21:46168730-46168900],1.949425889,2.035877149,2.194595779,1.991767913,1.970702768,1.862908156,1.491066823
seq1019_[chr22:17714995-17715165],2.326215329,2.236355695,2.565705644,2.53054093,2.329261769,2.173174035,1.963821313
seq102_[chr1:145438317-145438487],1.941630346,2.026591793,2.20628679,1.902651502,1.889121086,1.993158765,1.744643143
seq1020_[chr22:19274915-19275085],1.574201838,1.565676492,1.850118557,1.644394023,1.429657086,1.3474809,1.258965379
seq1021_[chr22:21322078-21322248],1.615668929,1.592921544,1.826784858,1.624409616,1.458168192,1.330995316,1.242663129
seq1022_[chr22:24114842-24115012],2.27479432,2.333165254,2.351163643,2.382028241,2.627102809,1.962026565,1.772957416
seq1023_[chr22:24298842-24299012],1.837506181,1.910191143,2.181480743,1.888725825,1.763668936,1.651373968,1.450525321
seq1024_[chr22:25087330-25087500],1.800122079,1.811977516,1.894342915,1.818029246,1.51668121,1.554206982,1.260484254
seq1025_[chr22:27754650-27754820],1.665451289,1.618970088,1.790961641,1.52000341,1.437155174,1.41323472,1.408885683
seq1026_[chr22:27890929-27891099],1.699424175,1.689437626,1.885443336,1.70319878,1.542516348,1.485413419,1.458774676
seq1027_[chr22:29385293-29385463],1.613846779,1.552285999,1.987628315,1.830233004,1.624528607,1.487320243,1.597568911
seq1028_[chr22:30592754-30592924],1.889174039,1.814348623,2.047768033,1.827466808,1.650637397,1.695775962,1.49619284
seq1029_[chr22:32146097-32146267],3.56967647,3.513593383,3.831661772,3.607080148,3.825523998,3.829593633,3.20182889
seq103_[chr1:150607609-150607779],1.517046565,1.468374601,1.781872897,1.643488255,1.466141284,1.4279248,1.259653126
seq1030_[chr22:32543242-32543412],1.678511849,1.603907029,1.800133141,1.56116334,1.547125878,1.409096613,1.197130404
seq1031_[chr22:34134320-34134490],1.890932604,1.796290229,1.993984168,1.729681271,1.624252797,1.469399034,1.314475071
seq1032_[chr22:36357662-36357832],1.728579453,1.647552961,1.932229732,1.563041579,1.590385044,1.384738255,1.359856392
seq1033_[chr22:37033028-37033198],1.814154528,1.77957153,1.978700889,1.719860264,1.575161658,1.478169515,1.305864161
seq1034_[chr22:38364006-38364176],1.647044025,1.643814041,1.892056349,1.621571148,1.482103401,1.450230249,1.319150642
seq1035_[chr22:38379065-38379235],1.730469019,1.835686193,1.970095785,1.774414356,1.622724794,1.492490943,1.307365689
seq1036_[chr22:38380407-38380577],1.724526977,1.644698682,1.820751455,1.613728229,1.424965833,1.342908541,1.219801639
seq1037_[chr22:38909201-38909371],1.573701252,1.588582603,1.799395634,1.496914783,1.446597889,1.36487727,1.188452256
seq1038_[chr22:39394321-39394491],2.362527602,2.457409125,3.056676225,2.841902944,3.022778537,2.476647305,2.131662901
seq1039_[chr22:39610563-39610733],1.696497904,1.670299419,1.843963692,1.686298344,1.981064249,1.548816973,1.779043201
seq104_[chr1:150613939-150614109],4.085828618,3.910524225,3.686818406,3.032614285,2.662640225,2.060999875,1.525938582
seq1040_[chr22:39610919-39611089],1.702040229,1.780948803,2.075723856,1.860733272,1.697297221,1.926287452,1.655697106
seq1041_[chr22:40590071-40590241],2.610728342,2.508034402,2.739923721,2.409403123,2.169736322,1.900093907,1.448295303
seq1042_[chr22:42833609-42833779],1.634736658,1.620706855,1.805798577,1.614701829,1.521629841,1.428166827,1.248322286
seq1043_[chr22:42896503-42896673],1.895159846,1.91711256,2.078457145,1.995983753,1.991122859,1.8985707,1.472183517
seq1045_[chr22:45898394-45898564],2.557987059,2.571948168,2.705975155,2.608950076,2.680222625,2.570895969,2.297948471
seq1046_[chr22:45899840-45900010],1.588626941,1.579064088,1.775967536,1.536038291,1.425315124,1.318608592,1.172845992
seq1047_[chr22:45900676-45900846],1.554777899,1.586322091,1.778303779,1.652044799,1.389566711,1.479319201,1.250818963
seq1048_[chr22:46241068-46241238],1.748743762,1.510236971,1.930181679,1.621268016,1.575743061,1.352356362,1.200596883
seq1049_[chr22:46440726-46440896],1.431746756,1.253343896,1.712956965,1.665918128,1.780951132,1.292436943,1.066701252
seq1050_[chr22:46896200-46896370],1.695345933,1.741792544,1.926440419,1.642024919,1.587491964,1.495723731,1.34589367
seq1051_[chr22:46906281-46906451],1.708568032,1.670458138,1.866048886,1.61146479,1.536375038,1.404387853,1.318928751
seq1052_[chr3:5020382-5020552],2.435700382,2.558114788,2.788857776,2.471899356,2.570370739,2.406599641,1.903830788
seq1053_[chr3:10595539-10595709],2.121861928,2.102698741,2.371740854,1.96387119,1.922461671,1.876302338,1.66761208
seq1054_[chr3:16343798-16343968],1.489450535,1.418005786,1.962014477,1.278448737,1.669068168,1.333815031,1.863759679
seq1055_[chr3:20371483-20371653],1.677622922,1.538923456,1.831380636,1.577515579,1.618878764,1.518408027,1.562258461
seq1056_[chr3:27084975-27085145],1.427827609,1.477947498,1.725512795,1.519837357,1.328252001,1.245066693,1.124531604
seq1057_[chr3:27708292-27708462],1.725123078,1.609353323,1.854667508,1.799160555,1.574692502,1.360361616,1.209216305
seq1058_[chr3:29517436-29517606],1.920464266,1.987783803,1.878642226,1.892081374,2.031560807,1.852391978,1.735093105
seq1059_[chr3:30591181-30591351],3.196593921,2.793445252,3.083756036,2.466159667,2.261350039,1.994319105,1.582062324
seq106_[chr1:156643687-156643857],1.768093128,1.812452101,2.029070752,1.770310019,1.565458669,1.328120828,1.286943669
seq1060_[chr3:33619186-33619356],2.206699911,2.19666638,2.341749958,2.176343996,1.868466236,1.840584238,1.369162404
seq1061_[chr3:45726102-45726272],1.670388185,1.876632862,2.122588723,1.883003868,1.89345063,1.701961421,1.457611382
seq1062_[chr3:45730650-45730820],2.213899289,2.181513553,2.450563066,2.227699619,2.306433554,2.273937708,1.939039613
seq1063_[chr3:45742778-45742948],3.268623159,3.068030026,3.530691936,3.651587517,3.991137225,3.380473797,2.210331395
seq1064_[chr3:47883552-47883722],2.234690495,2.177701666,2.511440859,2.310797111,2.437887649,2.366510724,1.952061375
seq1065_[chr3:47932191-47932361],1.474329679,1.527157022,1.762618569,1.678108138,1.527289903,1.400170755,1.524193907
seq1066_[chr3:50273437-50273607],2.399633813,2.312072306,2.530438904,2.301330407,2.350170146,2.163450976,1.90838388
seq1067_[chr3:50278642-50278812],3.005029049,3.142219436,3.136461178,2.885484646,2.998700646,3.078774704,2.590104502
seq1068_[chr3:50283627-50283797],2.294583604,2.4830636,2.72852959,2.441635705,2.290919418,2.108135019,1.665520671
seq1069_[chr3:53288961-53289131],2.503872891,2.508253559,2.66079759,2.490529928,2.516356967,2.446361115,1.946696657
seq107_[chr1:156675952-156676122],2.275997759,2.411858079,2.511446164,2.441442179,2.417619088,2.518799922,2.130790305
seq1070_[chr3:53289985-53290155],1.994586913,2.329346925,2.038925433,2.16470489,2.512038598,2.493533004,2.052666993
seq1071_[chr3:53782850-53783020],1.538550992,1.482249522,1.519150841,1.497495144,1.514964837,1.355793851,1.472023699
seq1072_[chr3:57165009-57165179],3.465353024,3.659169353,3.7987115,3.672898962,3.139368405,2.304641546,1.851324804
seq1073_[chr3:57234049-57234219],1.864230665,1.955002886,2.020531253,2.070159009,1.822430156,2.162891141,2.041412881
seq1074_[chr3:58567098-58567268],1.425896191,1.668762654,2.026230387,1.668196844,1.409162226,1.393597468,1.396051474
seq1075_[chr3:60535703-60535873],1.782868456,1.747735915,1.932816833,1.657597544,1.536911425,1.606663456,1.597826727
seq1076_[chr3:61674145-61674315],2.037124766,2.036640484,2.204501729,1.918385654,1.778347596,1.566074468,1.399728498
seq1077_[chr3:62401158-62401328],1.732380527,1.726993747,1.834015493,1.727442132,1.771560214,1.635749641,1.679777684
seq1078_[chr3:65386711-65386881],1.612577148,1.621295746,1.816341785,1.585538069,1.615963395,1.63801947,1.769215395
seq1079_[chr3:65387062-65387232],2.146648613,1.996673036,2.49829587,2.107372086,2.312434208,2.158772577,1.614096916
seq108_[chr1:156677301-156677471],2.009061008,2.067518968,2.302392602,2.021501276,1.933290934,1.829602229,1.655808354
seq1080_[chr3:65939163-65939333],1.653256966,1.614820599,1.824880041,1.611936464,1.404896276,1.359475024,1.200731278
seq1081_[chr3:75303889-75304059],2.658538871,2.700283109,2.595150147,2.510367846,2.622258597,2.525379067,2.599298422
seq1082_[chr3:76093032-76093202],2.194188915,2.189503314,2.328770486,2.010151088,1.829428946,1.570238862,1.402006658
seq1083_[chr3:77524737-77524907],2.918875745,2.922909292,3.322457425,3.338297538,2.697854612,2.171626881,1.588807913
seq1084_[chr3:82478077-82478247],1.937370072,1.889484621,2.143052357,1.930329405,1.770399415,1.821313498,1.479830799
seq1085_[chr3:84886290-84886460],1.85846824,1.91646313,2.143803244,1.83014947,1.830197996,1.737183513,1.37930369
seq1086_[chr3:106549299-106549469],2.08649605,2.289128539,2.347779346,1.995828322,1.741485241,1.497105411,1.270564403
seq1087_[chr3:110404600-110404770],1.433740926,1.532071495,1.695850233,1.484808294,1.369415152,1.415347488,1.31778651
seq1088_[chr3:112488975-112489145],2.007813591,2.380219964,3.239652888,3.149594883,3.000893536,3.196043347,2.694277525
seq1089_[chr3:112823715-112823885],2.097860722,2.112365182,2.445103076,2.137930834,2.066650477,1.824596251,1.5096299
seq109_[chr1:157984066-157984236],1.726145172,1.648412518,1.774357721,1.717665195,1.542418611,1.303984073,1.205345888
seq1090_[chr3:112930310-112930480],1.716896724,1.758167246,1.97984927,1.730064088,1.475798451,1.403199907,1.276748907
seq1091_[chr3:112983142-112983312],1.673658611,1.800231626,2.01189388,1.626531343,1.615456934,1.541389118,1.41726928
seq1092_[chr3:113871505-113871675],1.950418338,2.152619619,2.002801736,2.131563248,1.819170652,1.650624098,1.616137887
seq1093_[chr3:113873404-113873574],5.292867973,5.520964931,5.66475634,5.511317447,5.470551384,5.892028595,3.997618381
seq1094_[chr3:123033443-123033613],1.58229966,1.469802254,1.665973991,1.514516556,1.52642281,1.54042322,1.316447378
seq1095_[chr3:123562555-123562725],1.754850454,1.785234984,1.976909219,1.812134961,1.566084612,1.560877493,1.480378112
seq1096_[chr3:124605861-124606031],1.9411749,1.581093119,1.764522707,1.722511547,1.588171847,1.484238074,1.526144752
seq1097_[chr3:124606295-124606465],1.812939552,1.84006693,2.01083211,1.817629244,1.756999624,1.608975205,1.414065312
seq1098_[chr3:126878530-126878700],2.359812,2.443822138,2.84496986,2.336654623,2.597276826,2.834132244,2.838872101
seq1099_[chr3:133123940-133124110],1.53903919,1.412208888,1.775709587,1.668125738,1.378791625,1.510122622,1.759946001
seq11_[chr1:9241527-9241697],1.632917681,1.633670654,1.878236045,1.596588869,1.381030664,1.395597936,1.19973551
seq110_[chr1:158013096-158013266],1.959257533,1.843486522,2.076983752,1.985919968,1.909351082,1.854530641,1.765990049
seq1100_[chr3:140795237-140795407],1.733748665,1.663403759,1.796234511,1.637931809,1.575612843,1.336556197,1.317951381
seq1101_[chr3:146064839-146065009],1.749775943,1.759668333,2.081105637,1.80021914,1.835856257,1.69313559,1.428660035
seq1102_[chr3:148916424-148916594],2.079958559,1.969149824,2.07034507,1.977293678,1.998042575,1.892853094,1.678710103
seq1103_[chr3:151111044-151111214],1.940954432,1.862834911,2.021852798,1.76926615,1.83517367,1.888615955,1.434688858
seq1104_[chr3:155462808-155462978],2.331268511,2.420819085,2.550833587,2.323580453,2.210099267,2.102129802,1.72633873
seq1105_[chr3:155463733-155463903],1.759464243,1.821752652,1.98749343,1.735197302,1.702009322,1.604503401,1.313356284
seq1106_[chr3:155464004-155464174],1.680080118,1.505827782,1.572696379,1.530349283,1.360050272,1.388465823,1.236586939
seq1107_[chr3:162459110-162459280],2.156658304,2.101659182,2.403485424,2.33947596,2.550904981,2.242662281,2.064782475
seq1108_[chr3:163440194-163440364],2.62353046,2.657772514,2.763357985,2.678720622,2.326674879,2.202918552,1.941248212
seq1109_[chr3:168530145-168530315],1.692952776,1.560880677,1.759023563,1.673742534,1.527274491,1.38431625,1.385267309
seq111_[chr1:158976314-158976484],1.962138607,1.992245209,2.464679587,2.224906795,2.001093502,1.895367567,1.694814354
seq1110_[chr3:173583870-173584040],1.579933741,1.667789866,1.78254384,1.537455631,1.340150797,1.416277743,1.282761052
seq1111_[chr3:173950555-173950725],6.719812724,6.437688355,6.567657488,5.71925683,5.151489145,4.327591927,2.751141353
seq1112_[chr3:176039662-176039832],1.640121677,1.670864154,2.027073859,1.730812048,1.656340148,1.585988206,1.321701046
seq1113_[chr3:179755001-179755171],1.560598078,1.579634938,1.744266786,1.536620219,1.409186606,1.438093467,1.227407464
seq1114_[chr3:183152899-183153069],1.911272673,2.146390569,2.243406766,1.961647565,1.871710683,1.86839918,1.739039848
seq1115_[chr3:184321941-184322111],1.799527114,1.780248938,1.983232885,1.751656629,1.684676831,1.60361109,1.409428038
seq1116_[chr3:184322329-184322499],1.594823591,1.573042555,1.784047095,1.619075744,1.54890938,1.500116096,1.30950094
seq1117_[chr3:185531531-185531701],1.749318431,1.70948995,2.03175107,1.784626162,1.536066003,1.475283677,1.302274536
seq1118_[chr3:185798009-185798179],1.43642743,1.53847219,1.47532954,1.588138539,1.691953926,1.67704381,1.657779822
seq1119_[chr3:185825588-185825758],2.030955011,2.033542756,2.306776548,1.987048215,1.844177734,1.727270924,1.431749234
seq112_[chr1:160083999-160084169],1.741927226,1.958591826,2.069171622,1.81198087,1.575618853,1.430521261,1.5733478
seq1120_[chr3:185827110-185827280],2.608347657,2.704034917,2.92889333,2.811188869,2.591355739,2.28028572,1.925179884
seq1121_[chr3:186381454-186381624],1.65118876,1.480283112,1.589763945,1.51235464,1.300775486,1.205629476,1.386197295
seq1122_[chr3:189879997-189880167],2.736245201,2.864359252,3.137071504,2.805917533,3.267925644,2.62894828,1.833551029
seq1123_[chr3:193428533-193428703],1.990905303,1.928305679,2.140228756,1.625854669,1.890349952,1.662000096,1.65632539
seq1124_[chr3:193428963-193429133],1.64607597,1.713373997,1.895084925,1.535533641,1.445888681,1.414583972,1.181641838
seq1125_[chr3:193493562-193493732],2.002549747,1.683267416,2.001340085,1.6758179,1.389338102,1.746809563,1.344601489
seq1126_[chr3:193693069-193693239],1.640189851,1.523744417,1.795789854,1.678328422,1.477685309,1.437450357,1.662544223
seq1127_[chr3:195785070-195785240],1.902329611,1.94189166,2.181403826,1.8793373,1.673928457,1.808699473,1.663465523
seq1128_[chr3:197267831-197268001],1.625720739,1.523483344,1.831829714,1.580414707,1.591090957,1.402299824,1.277529099
seq1129_[chr3:197268598-197268768],1.71772273,1.633085757,2.077495611,1.796790347,1.405601132,1.484716052,1.370827414
seq113_[chr1:160085426-160085596],3.272951607,3.21500892,3.567097203,3.372929233,3.606588169,3.481604173,3.065410763
seq1130_[chr3:197581971-197582141],3.350341885,3.485958557,3.664587835,3.485195277,3.600294077,3.376060053,2.551171884
seq1131_[chr4:1037583-1037753],2.403043534,2.758146732,3.371050385,2.904786842,2.885257769,2.706684371,2.084994815
seq1132_[chr4:1582002-1582172],1.669213956,1.605587262,1.87792387,1.641306579,1.422439593,1.508170036,1.498277733
seq1133_[chr4:2599209-2599379],1.71365123,1.829382847,2.037123394,1.776586255,1.513569186,1.319008959,1.371447038
seq1134_[chr4:5754203-5754373],1.703584467,1.686709698,1.930220178,1.735972085,1.679596246,1.531701316,1.386591566
seq1135_[chr4:6964286-6964456],1.840355931,1.88626724,2.03584931,1.720526492,1.60905975,1.533078728,1.21325821
seq1136_[chr4:19197397-19197567],1.670782251,1.883211028,1.930339055,1.863257045,1.849428116,1.64792859,1.373961117
seq1137_[chr4:24663915-24664085],1.763621008,1.941881443,1.873017116,1.719598193,1.514842649,1.396213238,1.223180049
seq1138_[chr4:26030442-26030612],1.759181187,1.814938441,2.096204803,1.774263421,1.690387127,1.576158367,1.37550408
seq1139_[chr4:40311420-40311590],1.724912984,1.819272514,2.022495114,1.775773867,1.683974023,1.609577828,1.435874843
seq114_[chr1:160139384-160139554],1.601894021,1.772564409,1.703380776,1.654943725,1.719383742,1.556099682,1.626216189
seq1140_[chr4:40631456-40631626],1.85349866,1.691089298,2.017656465,1.826472666,1.738669792,1.734690837,1.512189408
seq1141_[chr4:40631909-40632079],2.191274588,2.267832389,2.452416565,2.216272154,2.13653024,1.919464222,1.561984568
seq1142_[chr4:41258753-41258923],2.275036479,2.403351781,2.6618851,2.379246652,2.455151759,2.241721511,2.035405039
seq1143_[chr4:41259628-41259798],1.649561522,1.610814293,1.825331891,1.606174368,1.569299039,1.474047454,1.307232938
seq1144_[chr4:53700955-53701125],1.798394517,1.648867712,2.022381358,1.733389652,1.709594242,1.535338002,1.607632753
seq1145_[chr4:55275698-55275868],1.5860496,1.511781418,1.889627797,1.700848417,1.586714645,1.29226147,1.441765387
seq1146_[chr4:56146760-56146930],1.819926647,1.873813478,2.07504675,1.871609297,1.721683188,1.460314866,1.227649172
seq1147_[chr4:56147529-56147699],2.836253761,3.363068901,3.599756357,3.516795413,4.235441845,3.960348803,2.098136706
seq1148_[chr4:57471742-57471912],1.869872907,1.937460732,2.221306042,1.993437965,2.092890734,2.621623554,2.054033459
seq1149_[chr4:65593776-65593946],2.153186536,2.089465709,2.299724374,2.16127787,1.97799881,1.629038326,1.315799687
seq115_[chr1:160380600-160380770],1.677251043,1.667881112,1.856839592,1.590648986,1.498572257,1.384775311,1.215322884
seq1150_[chr4:68989351-68989521],5.843895462,6.008453163,6.784968957,6.091408917,4.633254448,3.181494824,2.079197703
seq1151_[chr4:73019367-73019537],1.635108159,1.608152553,1.903689553,1.493876135,1.449446773,1.200293931,1.399480242
seq1152_[chr4:76630601-76630771],4.168184293,4.122261066,4.679193808,4.494142516,4.093391589,3.728686281,3.068089335
seq1153_[chr4:78096497-78096667],1.661107601,1.60865594,1.984857812,1.672788441,1.483199258,1.334449706,1.233395973
seq1154_[chr4:78098457-78098627],1.484415918,1.546697215,1.682848486,1.39886063,1.335498517,1.369958761,1.268412468
seq1155_[chr4:78099832-78100002],1.65809193,1.876335074,1.946418347,1.768757831,1.670222028,1.498249222,1.429230675
seq1156_[chr4:79473026-79473196],1.604832737,1.649402444,1.806538868,1.535954893,1.530121084,1.380586236,1.236799797
seq1157_[chr4:79473653-79473823],2.864971746,4.256841184,5.915622131,6.295076829,5.297099118,4.571800107,3.616753571
seq1158_[chr4:81393015-81393185],1.420600115,1.512544377,1.581148679,1.4622039,1.401340196,1.521499166,1.426230929
seq1159_[chr4:86048905-86049075],1.884903825,1.951314845,2.211213722,1.977387021,1.939069587,1.810097809,1.591500384
seq116_[chr1:160951446-160951616],2.690724978,3.009223221,3.108768393,2.954882171,2.908536353,2.72246265,1.921143755
seq1160_[chr4:87281283-87281453],1.606615653,1.519348273,1.827849511,1.700483819,1.511855977,1.261075722,1.30668179
seq1161_[chr4:88787442-88787612],1.613476313,1.638317417,2.016778862,1.798724285,1.486882624,1.759195591,1.516451279
seq1162_[chr4:88844651-88844821],1.742522062,1.721728809,1.878161521,1.557188783,1.521447455,1.446102959,1.336795716
seq1163_[chr4:91119425-91119595],1.844651962,1.768008227,1.969950372,1.741574742,1.713391764,1.32526944,1.383401936
seq1164_[chr4:91754965-91755135],2.761030839,2.872651788,3.216679256,3.337133986,3.497654276,3.670202608,2.275609716
seq1165_[chr4:105396979-105397149],1.760642784,1.694701146,1.868294993,1.801527201,1.641478945,1.380661925,1.513307072
seq1166_[chr4:105413755-105413925],1.642417364,1.762792315,1.769319537,1.55951726,1.437589225,1.382443135,1.299945008
seq1168_[chr4:106476661-106476831],1.608122945,1.517330427,1.82847323,1.662137875,1.297195389,1.732288561,1.37985883
seq1169_[chr4:113782217-113782387],1.560512061,1.700149353,1.877030753,1.701847539,1.487291825,1.397566104,1.430439032
seq117_[chr1:160983560-160983730],2.604042438,2.787748901,3.02354382,2.774061232,2.748299948,2.432810842,1.909620225
seq1170_[chr4:113817075-113817245],1.801786648,1.704541952,2.037398866,1.699698851,1.785481522,1.719326679,1.594074834
seq1171_[chr4:114213714-114213884],1.687500728,1.747724481,1.983389214,1.714842782,1.717832172,1.580986583,1.524124616
seq1172_[chr4:120914974-120915144],1.781752775,1.741583902,2.050970188,1.656374637,1.556830485,1.375191899,1.225431405
seq1173_[chr4:124300021-124300191],1.748632649,1.809979963,2.012669958,1.69247284,1.560870064,1.442211984,1.231498984
seq1174_[chr4:124896010-124896180],1.980932606,2.140443985,2.364875515,2.13298212,1.875451937,1.98063827,1.706070351
seq1175_[chr4:125380900-125381070],1.649618085,1.678892576,2.074788108,1.648023239,1.450165728,1.34660423,1.220745734
seq1176_[chr4:127967181-127967351],1.587235409,1.426052799,1.656871675,1.779091424,1.351757019,1.289362989,1.159577074
seq1178_[chr4:129723993-129724163],2.30006113,2.005083703,2.075015226,1.85094967,1.751228052,1.373971166,1.292474058
seq1179_[chr4:130947464-130947634],1.730642618,1.774718985,1.946895231,2.023641515,1.595910052,1.635612781,1.576513839
seq118_[chr1:162199971-162200141],5.536443958,5.442686088,5.044502423,4.53317075,3.764711912,2.852614481,2.21813056
seq1180_[chr4:131688580-131688750],1.842596398,1.717987194,1.972780929,1.689911495,1.497948736,1.540479162,1.198847934
seq1181_[chr4:133413206-133413376],1.553679908,1.508370655,1.772475563,1.730463393,1.528529843,1.505971823,1.651904393
seq1182_[chr4:133416690-133416860],1.704844153,1.73166729,1.954721157,1.847493456,1.541534691,1.485739561,1.378031853
seq1183_[chr4:137718159-137718329],3.420233242,2.892805987,3.154547005,3.091596314,2.997412953,2.010639838,1.615279794
seq1184_[chr4:140656227-140656397],1.571201953,1.6222689,1.795503029,1.524182875,1.474700327,1.402417643,1.288268981
seq1185_[chr4:152405952-152406122],4.098953045,4.37786469,5.09512052,4.939312035,5.067246229,3.978819524,3.05941749
seq1186_[chr4:154711422-154711592],3.374239021,3.426450749,3.631601765,3.061952316,2.730961796,2.412879608,1.891108968
seq1187_[chr4:159942866-159943036],5.210886873,5.386163193,5.74584357,5.321496365,4.561273472,2.955211568,2.084332174
seq1188_[chr4:166248524-166248694],2.760063587,2.600450819,2.838021585,2.622160136,3.019477473,2.973995344,2.677887063
seq1189_[chr4:169552798-169552968],1.703478502,1.689776603,1.915621658,1.634189806,1.531736612,1.489984746,1.352607817
seq119_[chr1:163531511-163531681],1.688772003,1.867024764,1.822126668,1.615342994,1.572462225,1.69633797,1.421131187
seq1190_[chr4:169553116-169553286],1.669969435,1.587188593,1.803591246,1.590939811,1.462050135,1.301778218,1.243771211
seq1191_[chr4:169762284-169762454],2.707500506,3.145187793,3.856684773,4.051229556,3.986438846,4.094771288,3.101864555
seq1192_[chr4:173995244-173995414],1.72816592,1.737097944,2.033517102,1.724011722,1.645637679,1.360660902,1.267560946
seq1193_[chr4:173995523-173995693],1.51151319,1.572363151,1.926865521,1.646848339,1.818195229,1.670167235,1.459700236
seq1194_[chr4:176697423-176697593],1.902919801,2.332241462,2.317703964,2.043104506,1.74522583,1.63091756,1.27514924
seq1195_[chr4:180386637-180386807],5.393203358,5.760483809,6.967110075,6.135426366,5.486533908,4.877771854,3.625024271
seq1196_[chr4:184026378-184026548],1.434584576,1.472479653,1.65122046,1.733488271,1.44337347,1.510365793,1.255806439
seq1197_[chr4:184104280-184104450],1.625072699,1.520292804,1.834839549,1.550966648,1.484590672,1.33724295,1.180485527
seq1198_[chr4:185537876-185538046],2.129739806,2.077103743,2.304750009,2.044009269,2.006717628,1.747027969,1.402348094
seq1199_[chr4:185609703-185609873],3.139145866,3.427148172,4.243643826,4.06409132,3.859507827,2.833071303,2.200200466
seq12_[chr1:10239253-10239423],1.585451661,1.471629353,1.651447288,1.857920757,1.627774125,1.688717726,1.321461682
seq120_[chr1:165314303-165314473],1.639822865,1.730061379,1.823812034,1.58060341,1.506494549,1.424309875,1.413731055
seq1200_[chr4:186029418-186029588],1.492293091,1.553220437,1.874133977,1.722327942,1.41904579,1.469768811,1.350588885
seq1201_[chr4:186239987-186240157],2.527654516,2.728734613,3.305439494,3.043101225,2.748120965,3.057834709,2.483722575
seq1202_[chr4:186951274-186951444],1.594648437,1.66682217,1.875722605,1.570617429,1.453147964,1.432259792,1.209720584
seq1203_[chr4:189897951-189898121],1.777143911,1.75999379,1.878499576,1.826743554,1.66404882,1.438978845,1.572642366
seq1204_[chr5:317352-317522],1.818027112,1.858329639,2.007698334,1.860851441,1.835936899,1.684388418,1.409976088
seq1205_[chr5:1515005-1515175],3.71947859,3.884630556,4.011509534,3.962148796,4.720080155,5.485748724,4.0092795
seq1206_[chr5:1867686-1867856],1.616252255,1.691170852,2.094678412,1.724297304,1.663282762,1.486376522,1.452003114
seq1207_[chr5:2751732-2751902],2.523969212,2.605395456,2.891085795,2.617248983,2.632285506,2.586453236,2.225754233
seq1208_[chr5:3101527-3101697],1.843828595,1.878755279,2.038876347,1.740819392,1.693044128,1.529785862,1.271214646
seq1209_[chr5:3104618-3104788],1.638435829,1.515189317,1.684314008,1.577701673,1.420947461,1.426438109,1.247580287
seq121_[chr1:165320210-165320380],1.482443928,1.429747472,1.557413964,1.553252428,1.613977037,1.449455065,1.778885258
seq1210_[chr5:3118573-3118743],1.73277813,1.711513342,1.887577338,1.666843165,1.520213423,1.417938535,1.274035926
seq1211_[chr5:4213296-4213466],1.806717077,2.03596722,2.122207669,1.867434808,1.664373762,1.647513989,1.481998525
seq1212_[chr5:7261370-7261540],1.748524143,1.837377842,2.061112309,1.760212899,1.649346639,1.445634427,1.332416311
seq1213_[chr5:7269041-7269211],1.994835273,1.937295043,2.262471783,2.063397799,2.220458856,1.869227352,1.670639775
seq1214_[chr5:7396063-7396233],2.033862844,1.904917388,1.942108989,1.233263343,1.652506109,1.32347143,1.157988434
seq1215_[chr5:10102437-10102607],1.991167524,2.084302653,2.415625188,1.927885305,1.742265362,1.721597629,1.603774051
seq1216_[chr5:10103331-10103501],2.457548155,2.653887032,2.639996474,2.308858444,2.388223471,2.37018429,2.389526587
seq1217_[chr5:10637765-10637935],2.066745421,2.116568059,2.315831455,2.092044724,2.048767763,1.942015975,1.619556964
seq1218_[chr5:12505179-12505349],2.255020808,2.215613356,2.242435152,2.203350134,2.11107134,1.784172605,1.67860999
seq1219_[chr5:14036238-14036408],1.484267205,1.609381978,1.804060301,1.778178011,1.736084217,1.644573172,1.279955332
seq122_[chr1:166919461-166919631],1.484934495,1.588104791,1.813393816,1.489904341,1.392041366,1.416466931,1.405513182
seq1220_[chr5:15554694-15554864],2.462251836,2.507022261,2.645902095,2.482264287,2.778183783,2.891364299,1.893172429
seq1221_[chr5:16061478-16061648],1.448552837,1.501712367,1.659951081,1.607457139,1.555733166,1.641187356,1.300327927
seq1222_[chr5:17402436-17402606],1.581596898,1.621298618,1.932683166,1.545953076,1.491226814,1.392094624,1.322412442
seq1223_[chr5:24208821-24208991],1.619843472,1.683707373,1.880726491,1.797223491,1.480425047,1.541901776,1.42419208
seq1224_[chr5:34410910-34411080],1.616345325,1.614499628,1.673761573,1.48422679,1.452046172,1.553967842,1.469685614
